antiga;nova
TABLERO DE MANIOBRAS DE ENTRADA SALIDA Y BYPASS SIN CORTE DE UPS DE 200KVA;DP-UPS-B - (TABLERO DE MANIOBRAS ENTR./SAL. Y BYPASS SIN CORTE DE UPS DE 200KVA)
TABLERO DE MANIOBRAS DE ENTRADA SALIDA Y BYPASS SIN CORTE DE UPS DE 200KVA;DP-UPS-B - (TABLERO DE MANIOBRAS ENTR./SAL. Y BYPASS SIN CORTE DE UPS DE 200KVA)
TRANSFORMADOR N 1 300KVA 220/380V;TR-UPS-B-01 - (TRANSFORMADOR N 1 300KVA 220/380V)
TRANSFORMADOR N 1 300KVA 220/380V;TR-UPS-B-01 - (TRANSFORMADOR N 1 300KVA 220/380V)
TRANSFORMADOR N 2 300KVA 220/380V;TR-UPS-B-02 - (TRANSFORMADOR N 2 300KVA 220/380V)
TRANSFORMADOR N 2 300KVA 220/380V;TR-UPS-B-02 - (TRANSFORMADOR N 2 300KVA 220/380V)
TRANSFORMADOR N 3 300KVA 220/380V;TR-UPS-B-03 - (TRANSFORMADOR N 3 300KVA 220/380V)
TRANSFORMADOR N 3 300KVA 220/380V;TR-UPS-B-03 - (TRANSFORMADOR N 3 300KVA 220/380V)
TABLERO DISTRIBUCION T.D-SAN;LPP-SAM-BS01 - (TABLERO DISTRIBUCION T.D-SAN)
TABLERO DISTRIBUCION T.D-SAN;LPP-SAM-BS01 - (TABLERO DISTRIBUCION T.D-SAN)
PAINEL SEM IDENTIFICA  O 1*;ACP-SAM-BS01 - (PAINEL SEM IDENTIFICA  O 1*)
PAINEL SEM IDENTIFICA  O 1*;ACP-SAM-BS01 - (PAINEL SEM IDENTIFICA  O 1*)
PAINEL SEM IDENTIFICA  O 2*;FPS-SAM-BS01 - (PAINEL SEM IDENTIFICA  O 2*)
PAINEL SEM IDENTIFICA  O 2*;FPS-SAM-BS01 - (PAINEL SEM IDENTIFICA  O 2*)
TABLERO DE DISTRIBUCION UPS 10 KVA SISTEMA REDUCTANTE;DP-RPP-SAM - (TABLERO DE DISTRIBUCION UPS 10 KVA SISTEMA REDUCTANTE)
TABLERO DE DISTRIBUCION UPS 10 KVA SISTEMA REDUCTANTE;DP-RPP-SAM - (TABLERO DE DISTRIBUCION UPS 10 KVA SISTEMA REDUCTANTE)
TAB DE MANIOBRAS UPS 10 KVA SISTEMA REDUNDANTE AISLADO;DP-UPS-SAM - (TAB DE MANIOBRAS UPS 10 KVA SISTEMA REDUNDANTE AISLADO )
TAB DE MANIOBRAS UPS 10 KVA SISTEMA REDUNDANTE AISLADO;DP-UPS-SAM - (TAB DE MANIOBRAS UPS 10 KVA SISTEMA REDUNDANTE AISLADO )
APF 2;EP-DC-RECT-01-01 - (APF 2)
APF 2;EP-DC-RECT-01-01 - (APF 2)
APF 1;EP-DC-RECT-01-02 - (APF 1)
APF 1;EP-DC-RECT-01-02 - (APF 1)
UPS SALA SAM 1;UPS-SAM-BS01-01 - (UPS SALA SAM 1)
UPS SALA SAM 1;UPS-SAM-BS01-01 - (UPS SALA SAM 1)
UPS SALA SAM 2;UPS-SAM-BS01-02 - (UPS SALA SAM 2)
UPS SALA SAM 2;UPS-SAM-BS01-02 - (UPS SALA SAM 2)
BB UPS SALA SAM 1;BB-UPS-SAM-BS01-1 - (BB UPS SALA SAM 1)
BB UPS SALA SAM 1;BB-UPS-SAM-BS01-1 - (BB UPS SALA SAM 1)
BB UPS SALA SAM 1;BB-UPS-SAM-BS01-2 - (BB UPS SALA SAM 1)
BB UPS SALA SAM 1;BB-UPS-SAM-BS01-2 - (BB UPS SALA SAM 1)
RETIFICADOR SEM IDENTIFICA  O1*;RECT-01 - (RETIFICADOR SEM IDENTIFICA  O1*)
RETIFICADOR SEM IDENTIFICA  O1*;RECT-01 - (RETIFICADOR SEM IDENTIFICA  O1*)
RPP 01 / RPP-IT-P1-01/A;RPP-01-E-01 - (RPP 01 / RPP-IT-P1-01/A)
RPP 01 / RPP-IT-P1-01/A;RPP-01-E-01 - (RPP 01 / RPP-IT-P1-01/A)
RPP 02 / RPP-IT-P1-01/B;RPP-01-F-01 - (RPP 02 / RPP-IT-P1-01/B)
RPP 02 / RPP-IT-P1-01/B;RPP-01-F-01 - (RPP 02 / RPP-IT-P1-01/B)
RPP 03 / RPP-IT-P1-02/A;RPP-01-E-02 - (RPP 03 / RPP-IT-P1-02/A)
RPP 03 / RPP-IT-P1-02/A;RPP-01-E-02 - (RPP 03 / RPP-IT-P1-02/A)
RPP 04 / RPP-IT-P1-02/B;RPP-01-F-02 - (RPP 04 / RPP-IT-P1-02/B)
RPP 04 / RPP-IT-P1-02/B;RPP-01-F-02 - (RPP 04 / RPP-IT-P1-02/B)
RPP 05 / RPP-IT-P1-03/A;RPP-01-E-03 - (RPP 05 / RPP-IT-P1-03/A)
RPP 05 / RPP-IT-P1-03/A;RPP-01-E-03 - (RPP 05 / RPP-IT-P1-03/A)
RPP 06 / RPP-IT-P1-03/B;RPP-01-F-03 - (RPP 06 / RPP-IT-P1-03/B)
RPP 06 / RPP-IT-P1-03/B;RPP-01-F-03 - (RPP 06 / RPP-IT-P1-03/B)
RPP 07 / RPP-IT-P1-04/A;RPP-01-E-04 - (RPP 07 / RPP-IT-P1-04/A)
RPP 07 / RPP-IT-P1-04/A;RPP-01-E-04 - (RPP 07 / RPP-IT-P1-04/A)
RPP 08 / RPP-IT-P1-04/B;RPP-01-F-04 - (RPP 08 / RPP-IT-P1-04/B)
RPP 08 / RPP-IT-P1-04/B;RPP-01-F-04 - (RPP 08 / RPP-IT-P1-04/B)
RPP 09 / RPP-IT-P1-05/A;RPP-01-E-05 - (RPP 09 / RPP-IT-P1-05/A)
RPP 09 / RPP-IT-P1-05/A;RPP-01-E-05 - (RPP 09 / RPP-IT-P1-05/A)
RPP 10 / RPP-IT-P1-05/B;RPP-01-F-05 - (RPP 10 / RPP-IT-P1-05/B)
RPP 10 / RPP-IT-P1-05/B;RPP-01-F-05 - (RPP 10 / RPP-IT-P1-05/B)
RPP 6A / RPP-IT-P1-06/A;RPP-01-E-06 - (RPP 6A / RPP-IT-P1-06/A)
RPP 6A / RPP-IT-P1-06/A;RPP-01-E-06 - (RPP 6A / RPP-IT-P1-06/A)
RPP 6B / RPP-IT-P1-06/B;RPP-01-F-06 - (RPP 6B / RPP-IT-P1-06/B)
RPP 6B / RPP-IT-P1-06/B;RPP-01-F-06 - (RPP 6B / RPP-IT-P1-06/B)
RPP 7A / RPP-IT-P1-07/A;RPP-01-E-07 - (RPP 7A / RPP-IT-P1-07/A)
RPP 7A / RPP-IT-P1-07/A;RPP-01-E-07 - (RPP 7A / RPP-IT-P1-07/A)
RPP 7B / RPP-IT-P1-07/B;RPP-01-F-07 - (RPP 7B / RPP-IT-P1-07/B)
RPP 7B / RPP-IT-P1-07/B;RPP-01-F-07 - (RPP 7B / RPP-IT-P1-07/B)
RPP 8A / RPP-IT-P1-08/A;RPP-01-E-08 - (RPP 8A / RPP-IT-P1-08/A)
RPP 8A / RPP-IT-P1-08/A;RPP-01-E-08 - (RPP 8A / RPP-IT-P1-08/A)
RPP 8B / RPP-IT-P1-08/B;RPP-01-F-08 - (RPP 8B / RPP-IT-P1-08/B)
RPP 8B / RPP-IT-P1-08/B;RPP-01-F-08 - (RPP 8B / RPP-IT-P1-08/B)
RPP 9A / RPP-IT-P1-09/A;RPP-01-E-09 - (RPP 9A / RPP-IT-P1-09/A)
RPP 9A / RPP-IT-P1-09/A;RPP-01-E-09 - (RPP 9A / RPP-IT-P1-09/A)
RPP 9B / RPP-IT-P1-09/B;RPP-01-F-09 - (RPP 9B / RPP-IT-P1-09/B)
RPP 9B / RPP-IT-P1-09/B;RPP-01-F-09 - (RPP 9B / RPP-IT-P1-09/B)
BMS-02-TDP / BMS-02-1;AP-BMS-DH01-01-01 - (BMS-02-TDP / BMS-02-1)
BMS-02-TDP / BMS-02-1;AP-BMS-DH01-01-01 - (BMS-02-TDP / BMS-02-1)
BMS-03-TDP / BMS-03-1;AP-BMS-DH01-01-02 - (BMS-03-TDP / BMS-03-1)
BMS-03-TDP / BMS-03-1;AP-BMS-DH01-01-02 - (BMS-03-TDP / BMS-03-1)
TUPS-IT-P1-01/B;DP-UPS-F - (TUPS-IT-P1-01/B)
TUPS-IT-P1-01/B;DP-UPS-F - (TUPS-IT-P1-01/B)
TABLERO TBMS-B;DP-MTS-BMS-02 - (TABLERO TBMS-B)
TABLERO TBMS-B;DP-MTS-BMS-02 - (TABLERO TBMS-B)
TUPS-IT-P1-01/A;DP-UPS-E - (TUPS-IT-P1-01/A)
TUPS-IT-P1-01/A;DP-UPS-E - (TUPS-IT-P1-01/A)
TABLERO TBMS-A;DP-MTS-BMS-01 - (TABLERO TBMS-A)
TABLERO TBMS-A;DP-MTS-BMS-01 - (TABLERO TBMS-A)
CRAH-P1-04-A/B;CRAH-0-TA01-01-04 - (CRAH-P1-04-A/B)
CRAH-P1-04-A/B;CRAH-0-TA01-01-04 - (CRAH-P1-04-A/B)
CRAH-P1-03-A/B;CRAH-0-TA01-01-03 - (CRAH-P1-03-A/B)
CRAH-P1-03-A/B;CRAH-0-TA01-01-03 - (CRAH-P1-03-A/B)
CRAH-P1-02-A/B;CRAH-0-TA01-01-02 - (CRAH-P1-02-A/B)
CRAH-P1-02-A/B;CRAH-0-TA01-01-02 - (CRAH-P1-02-A/B)
CRAH-P1-01-A/B;CRAH-0-TA01-01-01 - (CRAH-P1-01-A/B)
CRAH-P1-01-A/B;CRAH-0-TA01-01-01 - (CRAH-P1-01-A/B)
TABLERO TSG-P1 A/B;EP-GS-FL01 - (TABLERO TSG-P1 A/B)
TABLERO TSG-P1 A/B;EP-GS-FL01 - (TABLERO TSG-P1 A/B)
TABLERO TILUM-P1;LPP-TA01-01 - (TABLERO TILUM-P1)
TABLERO TILUM-P1;LPP-TA01-01 - (TABLERO TILUM-P1)
COMMAND CONTROL;CCP-CRAH-TA01-01 - (COMMAND CONTROL )
COMMAND CONTROL;CCP-CRAH-TA01-01 - (COMMAND CONTROL )
TUPS-CL-P1-01/A;DP-CRAH-1-TA01-01 - (TUPS-CL-P1-01/A)
TUPS-CL-P1-01/A;DP-CRAH-1-TA01-01 - (TUPS-CL-P1-01/A)
TUPS-CL-P1-01/B;DP-CRAH-2-TA01-01 - (TUPS-CL-P1-01/B)
TUPS-CL-P1-01/B;DP-CRAH-2-TA01-01 - (TUPS-CL-P1-01/B)
BMS-11-P1;AP-BMS-TA01-01-02 - (BMS-11-P1)
BMS-11-P1;AP-BMS-TA01-01-02 - (BMS-11-P1)
TABLERO CLAE-P1;DP-EX-TA01-01 - (TABLERO CLAE-P1)
TABLERO CLAE-P1;DP-EX-TA01-01 - (TABLERO CLAE-P1)
BMS-10-P1;AP-BMS-TA01-01-01 - (BMS-10-P1)
BMS-10-P1;AP-BMS-TA01-01-01 - (BMS-10-P1)
U.C EQUIPO 1 / SALA ADSL PISO 1;CON-1-TA01-02-01 - (U.C EQUIPO 1 / SALA ADSL PISO 1)
U.C EQUIPO 1 / SALA ADSL PISO 1;CON-1-TA01-02-01 - (U.C EQUIPO 1 / SALA ADSL PISO 1)
U.C EQUIPO 2 /  SALA ADSL PISO 1;CON-1-TA01-02-02 - (U.C EQUIPO 2 /  SALA ADSL PISO 1)
U.C EQUIPO 2 /  SALA ADSL PISO 1;CON-1-TA01-02-02 - (U.C EQUIPO 2 /  SALA ADSL PISO 1)
TABLERO DE ALUMBRADO Y TOMA CORRIENTE;DP-LPP-TA01-02 - (TABLERO DE ALUMBRADO Y TOMA CORRIENTE )
TABLERO DE ALUMBRADO Y TOMA CORRIENTE;DP-LPP-TA01-02 - (TABLERO DE ALUMBRADO Y TOMA CORRIENTE )
TABLERO DE RECTIFICADORES;DP-RECT-02 - (TABLERO DE RECTIFICADORES)
TABLERO DE RECTIFICADORES;DP-RECT-02 - (TABLERO DE RECTIFICADORES)
RECT 1;RECT-02 - (RECT 1)
RECT 1;RECT-02 - (RECT 1)
EVAPORADORA ADSL 1;CRAC-1-TA01-02-01 - (EVAPORADORA ADSL 1)
EVAPORADORA ADSL 1;CRAC-1-TA01-02-01 - (EVAPORADORA ADSL 1)
EVAPORADORA ADSL 2;CRAC-1-TA01-02-02 - (EVAPORADORA ADSL 2)
EVAPORADORA ADSL 2;CRAC-1-TA01-02-02 - (EVAPORADORA ADSL 2)
TABLERO DE ALUMBRADO(T-A);LPP-CC01-01 - (TABLERO DE ALUMBRADO(T-A))
TABLERO DE ALUMBRADO(T-A);LPP-CC01-01 - (TABLERO DE ALUMBRADO(T-A))
AC-CTR-L-002;ACP-WH01-01 - (AC-CTR-L-002)
AC-CTR-L-002;ACP-WH01-01 - (AC-CTR-L-002)
AC-FTE-L-004;FPS-WH01-01 - (AC-FTE-L-004)
AC-FTE-L-004;FPS-WH01-01 - (AC-FTE-L-004)
BMS-12-P1;AP-BMS-F01-01 - (BMS-12-P1)
BMS-12-P1;AP-BMS-F01-01 - (BMS-12-P1)
TABLERO TGUPS-COM-P1/A;EP-M-C-F01-01 - (TABLERO TGUPS-COM-P1/A)
TABLERO TGUPS-COM-P1/A;EP-M-C-F01-01 - (TABLERO TGUPS-COM-P1/A)
TABLERO TGUPS-COM-P1/B;EP-M-D-F01-01 - (TABLERO TGUPS-COM-P1/B)
TABLERO TGUPS-COM-P1/B;EP-M-D-F01-01 - (TABLERO TGUPS-COM-P1/B)
TABLERO TUPS-COM-P1/A;RPP-01-C-01 - (TABLERO TUPS-COM-P1/A)
TABLERO TUPS-COM-P1/A;RPP-01-C-01 - (TABLERO TUPS-COM-P1/A)
TABLERO TUPS-COM-P1/B;RPP-01-D-01 - (TABLERO TUPS-COM-P1/B)
TABLERO TUPS-COM-P1/B;RPP-01-D-01 - (TABLERO TUPS-COM-P1/B)
CRAH-P1-CARRIER 02 A/B;CRAC-0-F01-01 - (CRAH-P1-CARRIER 02 A/B)
CRAH-P1-CARRIER 02 A/B;CRAC-0-F01-01 - (CRAH-P1-CARRIER 02 A/B)
CRAH-P1-CARRIER 01 A/B;CRAH-0-F01-02 - (CRAH-P1-CARRIER 01 A/B)
CRAH-P1-CARRIER 01 A/B;CRAH-0-F01-02 - (CRAH-P1-CARRIER 01 A/B)
BANCO DE BATERIA SEM IDENTIFICA  O 1*;BB-UPS-C-01 - (BANCO DE BATERIA SEM IDENTIFICA  O 1*)
BANCO DE BATERIA SEM IDENTIFICA  O 1*;BB-UPS-C-01 - (BANCO DE BATERIA SEM IDENTIFICA  O 1*)
BANCO DE BATERIA SEM IDENTIFICA  O 2*;BB-UPS-D-01 - (BANCO DE BATERIA SEM IDENTIFICA  O 2*)
BANCO DE BATERIA SEM IDENTIFICA  O 2*;BB-UPS-D-01 - (BANCO DE BATERIA SEM IDENTIFICA  O 2*)
CARRIER-UPS A;UPS-C-01 - (CARRIER-UPS A)
CARRIER-UPS A;UPS-C-01 - (CARRIER-UPS A)
CARRIER-UPS B;UPS-D-01 - (CARRIER-UPS B)
CARRIER-UPS B;UPS-D-01 - (CARRIER-UPS B)
AC-CTR-L-001;ACP-FIBER01-1 - (AC-CTR-L-001)
AC-CTR-L-001;ACP-FIBER01-1 - (AC-CTR-L-001)
AC-FTE-L-003;FPS-FIBER01-1 - (AC-FTE-L-003)
AC-FTE-L-003;FPS-FIBER01-1 - (AC-FTE-L-003)
TABLERO TSG-P1-ADMIN-A/B;DP-MTS-E-F-01 - (TABLERO TSG-P1-ADMIN-A/B)
TABLERO TSG-P1-ADMIN-A/B;DP-MTS-E-F-01 - (TABLERO TSG-P1-ADMIN-A/B)
TD SALA NOC;DP-NOC - (TD SALA NOC )
TD SALA NOC;DP-NOC - (TD SALA NOC )
TABLERO T-SEG A/B;DP-UPS-SEC-A-B - (TABLERO T-SEG A/B)
TABLERO T-SEG A/B;DP-UPS-SEC-A-B - (TABLERO T-SEG A/B)
U.C EQUIPO N 1 / SALA UPS 1-SOTANO;CON-1-URBS1-01-01 - (U.C EQUIPO N 1 / SALA UPS 1-SOTANO)
U.C EQUIPO N 1 / SALA UPS 1-SOTANO;CON-1-URBS1-01-01 - (U.C EQUIPO N 1 / SALA UPS 1-SOTANO)
U.C EQUIPO N 3 / SALA UPS 1-SOTANO;CON-1-URBS1-01-02 - (U.C EQUIPO N 3 / SALA UPS 1-SOTANO)
U.C EQUIPO N 3 / SALA UPS 1-SOTANO;CON-1-URBS1-01-02 - (U.C EQUIPO N 3 / SALA UPS 1-SOTANO)
TABLERO SEM IDENTIFICA  O1**;DP-MDT-01 - (TABLERO SEM IDENTIFICA  O1**)
TABLERO SEM IDENTIFICA  O1**;DP-MDT-01 - (TABLERO SEM IDENTIFICA  O1**)
TABLERO TILUM-P2;LPP-TA02-02 - (TABLERO TILUM-P2)
TABLERO TILUM-P2;LPP-TA02-02 - (TABLERO TILUM-P2)
RPP-IT-P2-05-A;RPP-02-E-05 - (RPP-IT-P2-05-A)
RPP-IT-P2-05-A;RPP-02-E-05 - (RPP-IT-P2-05-A)
TABLERO TGUPS-CL-P2-01/B;DP-CRAH-2-TA02-02 - (TABLERO TGUPS-CL-P2-01/B)
TABLERO TGUPS-CL-P2-01/B;DP-CRAH-2-TA02-02 - (TABLERO TGUPS-CL-P2-01/B)
BMS-14-P2;AP-BMS-TA02-02 - (BMS-14-P2)
BMS-14-P2;AP-BMS-TA02-02 - (BMS-14-P2)
CRAH-P2-01S A/B;CRAC-0-TA02-02-01 - (CRAH-P2-01S A/B)
CRAH-P2-01S A/B;CRAC-0-TA02-02-01 - (CRAH-P2-01S A/B)
TABLERO DE DESHABILITACION APAGADO REMOTO - CPD2;CCP-CRAH-TA02-02 - (TABLERO DE DESHABILITACION APAGADO REMOTO - CPD2)
TABLERO DE DESHABILITACION APAGADO REMOTO - CPD2;CCP-CRAH-TA02-02 - (TABLERO DE DESHABILITACION APAGADO REMOTO - CPD2)
TC-VENTILADOR;EP-FAN-TA02-02 - (TC-VENTILADOR )
TC-VENTILADOR;EP-FAN-TA02-02 - (TC-VENTILADOR )
TABLERO ATS-CLAE-P2;ATS-TA02-02 - (TABLERO ATS-CLAE-P2)
TABLERO ATS-CLAE-P2;ATS-TA02-02 - (TABLERO ATS-CLAE-P2)
TABLERO TSG-P2-A/B;DP-ATS-TA02-02 - (TABLERO TSG-P2-A/B)
TABLERO TSG-P2-A/B;DP-ATS-TA02-02 - (TABLERO TSG-P2-A/B)
CRAH-P2-02S A/B;CRAC-0-TA02-02-02 - (CRAH-P2-02S A/B)
CRAH-P2-02S A/B;CRAC-0-TA02-02-02 - (CRAH-P2-02S A/B)
TABLERO TGUPS-IT-P2-01/A;DP-RRP-E-FL02 - (TABLERO TGUPS-IT-P2-01/A)
TABLERO TGUPS-IT-P2-01/A;DP-RRP-E-FL02 - (TABLERO TGUPS-IT-P2-01/A)
RPP-IT-P2-04-A;RPP-02-E-04 - (RPP-IT-P2-04-A)
RPP-IT-P2-04-A;RPP-02-E-04 - (RPP-IT-P2-04-A)
RPP-IT-P2-03-A;RPP-02-E-03 - (RPP-IT-P2-03-A)
RPP-IT-P2-03-A;RPP-02-E-03 - (RPP-IT-P2-03-A)
RPP-IT-P2-02-A;RPP-02-E-02 - (RPP-IT-P2-02-A)
RPP-IT-P2-02-A;RPP-02-E-02 - (RPP-IT-P2-02-A)
RPP-IT-P2-01-A;RPP-02-E-01 - (RPP-IT-P2-01-A)
RPP-IT-P2-01-A;RPP-02-E-01 - (RPP-IT-P2-01-A)
RPP-IT-P2-04-B;RPP-02-F-04 - (RPP-IT-P2-04-B)
RPP-IT-P2-04-B;RPP-02-F-04 - (RPP-IT-P2-04-B)
RPP-IT-P2-03-B;RPP-02-F-03 - (RPP-IT-P2-03-B)
RPP-IT-P2-03-B;RPP-02-F-03 - (RPP-IT-P2-03-B)
RPP-IT-P2-02-B;RPP-02-F-02 - (RPP-IT-P2-02-B)
RPP-IT-P2-02-B;RPP-02-F-02 - (RPP-IT-P2-02-B)
RPP-IT-P2-01-B;RPP-02-F-01 - (RPP-IT-P2-01-B)
RPP-IT-P2-01-B;RPP-02-F-01 - (RPP-IT-P2-01-B)
TABLERO TGUPS-IT-P2-01/B;DP-RRP-D-FL02 - (TABLERO TGUPS-IT-P2-01/B)
TABLERO TGUPS-IT-P2-01/B;DP-RRP-D-FL02 - (TABLERO TGUPS-IT-P2-01/B)
CRAH-P2-01N A/B;CRAC-0-TA02-03-01 - (CRAH-P2-01N A/B )
CRAH-P2-01N A/B;CRAC-0-TA02-03-01 - (CRAH-P2-01N A/B )
BMS-13-P2;AP-BMS-TA02-03 - (BMS-13-P2)
BMS-13-P2;AP-BMS-TA02-03 - (BMS-13-P2)
AC-CTR-L-004;ACP-TA02-03 - (AC-CTR-L-004)
AC-CTR-L-004;ACP-TA02-03 - (AC-CTR-L-004)
AC-FTE-L-012;FPS-TA02-03 - (AC-FTE-L-012)
AC-FTE-L-012;FPS-TA02-03 - (AC-FTE-L-012)
RPP-IT-P2-05-B;RPP-02-F-05 - (RPP-IT-P2-05-B)
RPP-IT-P2-05-B;RPP-02-F-05 - (RPP-IT-P2-05-B)
CRAH-P2-02N A/B;CRAC-0-TA02-03-02 - (CRAH-P2-02N A/B)
CRAH-P2-02N A/B;CRAC-0-TA02-03-02 - (CRAH-P2-02N A/B)
U.EVAP. A/A 4;CRAC-1-DH02-01-04 - (U.EVAP. A/A 4)
U.EVAP. A/A 4;CRAC-1-DH02-01-04 - (U.EVAP. A/A 4)
RPP 04 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 4 STEE4;RPP-02-A-04 - (RPP 04 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 4 STEE4)
RPP 04 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 4 STEE4;RPP-02-A-04 - (RPP 04 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 4 STEE4)
GABINETE CPD0 VIENE DE INTALL;EXCLUIR - (GABINETE CPD0 VIENE DE INTALL )
GABINETE CPD0 VIENE DE INTALL;EXCLUIR - (GABINETE CPD0 VIENE DE INTALL )
SUB TABLERO DE ALUMB.Y TOMAC N 2 STA-2;LPP-DH02-01-01 - (SUB TABLERO DE ALUMB.Y TOMAC N 2 STA-2)
SUB TABLERO DE ALUMB.Y TOMAC N 2 STA-2;LPP-DH02-01-01 - (SUB TABLERO DE ALUMB.Y TOMAC N 2 STA-2)
SUB TABLERO DE AIRE ACONDICIONADO N 2 STAA-2;DP-CRAC-1-DH02-02 - (SUB TABLERO DE AIRE ACONDICIONADO N 2 STAA-2)
SUB TABLERO DE AIRE ACONDICIONADO N 2 STAA-2;DP-CRAC-1-DH02-02 - (SUB TABLERO DE AIRE ACONDICIONADO N 2 STAA-2)
RPP 03 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 3 STEE3;RPP-02-A-03 - (RPP 03 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 3 STEE3)
RPP 03 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 3 STEE3;RPP-02-A-03 - (RPP 03 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 3 STEE3)
RPP 11 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 11 STEE-11;RPP-02-B-10 - (RPP 11 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 11 STEE-11)
RPP 11 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 11 STEE-11;RPP-02-B-10 - (RPP 11 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 11 STEE-11)
U.EVAP. A/A 5;CRAC-1-DH02-01-05 - (U.EVAP. A/A 5)
U.EVAP. A/A 5;CRAC-1-DH02-01-05 - (U.EVAP. A/A 5)
RPP 08 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 8 STEE-8;RPP-02-B-08 - (RPP 08 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 8 STEE-8)
RPP 08 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 8 STEE-8;RPP-02-B-08 - (RPP 08 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 8 STEE-8)
RPP 09 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 9 STEE-9;RPP-02-B-09 - (RPP 09 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 9 STEE-9)
RPP 09 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 9 STEE-9;RPP-02-B-09 - (RPP 09 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 9 STEE-9)
RPP 05 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 5 STEE-5;RPP-02-B-05 - (RPP 05 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 5 STEE-5)
RPP 05 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 5 STEE-5;RPP-02-B-05 - (RPP 05 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 5 STEE-5)
RPP 06 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 6 STEE-6;RPP-02-B-06 - (RPP 06 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 6 STEE-6)
RPP 06 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 6 STEE-6;RPP-02-B-06 - (RPP 06 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 6 STEE-6)
RPP 07 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 7 STEE-7;RPP-02-B-07 - (RPP 07 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 7 STEE-7)
RPP 07 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 7 STEE-7;RPP-02-B-07 - (RPP 07 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 7 STEE-7)
TABLERO GENERAL DE ALUMB.Y TOMAC. TGA;LPP-DH02-01-02 - (TABLERO GENERAL DE ALUMB.Y TOMAC. TGA)
TABLERO GENERAL DE ALUMB.Y TOMAC. TGA;LPP-DH02-01-02 - (TABLERO GENERAL DE ALUMB.Y TOMAC. TGA)
U.EVAP. A/A 3;CRAC-1-DH02-01-03 - (U.EVAP. A/A 3)
U.EVAP. A/A 3;CRAC-1-DH02-01-03 - (U.EVAP. A/A 3)
TABLERO GANERAL DE AIRE ACONDICIONADO TGAA;DSM-CRAC-DH02-02 - (TABLERO GANERAL DE AIRE ACONDICIONADO TGAA)
TABLERO GANERAL DE AIRE ACONDICIONADO TGAA;DSM-CRAC-DH02-02 - (TABLERO GANERAL DE AIRE ACONDICIONADO TGAA)
SUB-TABLERO DE AIRE ACONDICIONADO N 1 STAA-1;DP-CRAC-1-DH02-01 - (SUB-TABLERO DE AIRE ACONDICIONADO N 1 STAA-1)
SUB-TABLERO DE AIRE ACONDICIONADO N 1 STAA-1;DP-CRAC-1-DH02-01 - (SUB-TABLERO DE AIRE ACONDICIONADO N 1 STAA-1)
RPP 02 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 2 STEE-2;RPP-02-A-02 - (RPP 02 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 2 STEE-2)
RPP 02 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 2 STEE-2;RPP-02-A-02 - (RPP 02 / SUB-TABLERO DE ENERGUA ESTAVLIZADA N 2 STEE-2)
TABLERO GENERAL DE ENERGIA ESTABILIZADA TGEE;DP-RPP-A - (TABLERO GENERAL DE ENERGIA ESTABILIZADA TGEE )
TABLERO GENERAL DE ENERGIA ESTABILIZADA TGEE;DP-RPP-A - (TABLERO GENERAL DE ENERGIA ESTABILIZADA TGEE )
TABLERO DE SALIDA DEL SISTEMA UPS T-UPS-OUT;DP-RPP-B - (TABLERO DE SALIDA DEL SISTEMA UPS T-UPS-OUT)
